| Дата                        | Человек/Событие                  | Описание |
|-----------------------------|----------------------------------|-------------|
| 1 октября 1754 - 24 марта 1801 | Павел I Петрович                | Император и самодержец всероссийский |
| 1 октября                  | Международный день музыки        | Учреждён по инициативе Международного музыкального совета при ЮНЕСКО. Цель дня: распространение музыкального искусства во всех слоях общества |
| 1 октября 1881 - 28 сентября 1956 | Уильям Эдвард Боинг            | Американский самолётостроитель, основатель американской авиастроительной компании Boeing |
| 2 октября 1914 - 4 августа 1983  | Юрий Борисович Левитан         | Диктор Всесоюзного радио, в годы Великой Отечественной войны читал сводки Совинформбюро |
| 3 октября 1895 - 28 декабря 1925 | Сергей Александрович Есенин    | Русский поэт, одна из крупнейших личностей Серебряного века |
| 2 октября 1869 - 30 января 1948  | Махатма Ганди                  | Индийский государственный и политический деятель, философ. Его философия ненасилия оказала влияние на движения сторонников мирных перемен |
| 5 октября 1864 - 6 июня 1948    | Луи Жан Люмьер                 | Родоначальник французской киноиндустрии и кинорежиссуры, изобретатель кинематографа (совместно со своим старшим братом Огюстом) |
| 6 октября 1866 - 22 июля 1932    | Реджинальд Обри Фессенден      | Канадский и американский изобретатель. Он предложил метод для обнаружения айсбергов, также хорошо известен своими работами на ранних этапах развития радио |
| 7 октября 1885 - 18 ноября 1962  | Нильс Бор                      | Датский физик-теоретик, лауреат Нобелевской премии по физике, внёс значительный вклад в развитие теории атомного ядра и ядерных реакций |
| 8 октября 1907 - 11 мая 1939    | Полина Денисовна Осипенко      | Советская лётчица, герой Советского Союза, установила пять мировых авиационных рекордов высоты и дальности полетов для женщин |
| 9 октября 1940 - 8 декабря 1980  | Джон Уинстон Оно Леннон        | Один из основателей и участник группы The Beatles, британский музыкант, певец, поэт, композитор, художник, писатель |
| 9 октября                  | Всемирный день почты            | Всемирным днем почты этот день был провозглашен на Конгрессе Всемирного союза почтовиков, состоявшемся в Токио в 1969 году |
| 10 октября 1684 - 18 июля 1721   | Жан Антуан Ватто               | Французский живописец, академик Королевской академии живописи и скульптуры, выдающийся мастер периода французского Регентства |
| 16 октября 1708 - 12 декабря 1777 | Карл Линней                    | Шведский естествоиспытатель, разработчик современной системы классификации живых организмов |
| 16 октября 1854 - 30 ноября 1900 | Оскар Фингал О’Флаэрти Уиллс Уайльд | Ирландский поэт, драматург, писатель, одна из ключевых фигур эстетизма и европейского модернизма |
| 17 октября 1734 - 24 апреля 1783 | Григорий Григорьевич Орлов     | Российский государственный деятель, граф, ближайший советник императрицы Екатерины II |
| 17 октября 1921 - 7 июля 2001    | Мария Кондратьевна Гороховская | Советская гимнастка, первая олимпийская чемпионка в индивидуальном первенстве, обладательница наибольшего числа медалей (семь), завоёванных женщиной на одной Олимпиаде |
| 18 октября 1847 - 16 марта 1923  | Александр Николаевич Лодыгин    | Русский электротехник, изобрел электрическую угольную лампу накаливания, первым использовал для нити накаливания лампы тугоплавкие металлы |
| 18 октября 1960               | Жан-Клод Ван Дамм               | Американский актёр, мастер боевых искусств, сценарист и режиссёр |
| 19 октября 1862 - 10 апреля 1954  | Огюст Люмьер                  | Кинорежиссёр, кинопродюсер, совместно со своим младшим братом Луи считается родоначальником кино, основателем французской киноиндустрии и кинорежиссуры |
| 20 октября 1891 - 24 июля 1974   | Джеймс Чедвик                 | Английский физик, лауреат Нобелевской премии по физике, первооткрыватель нейтрона и фотоядерной реакции |
| 20 октября                  | Международный день поваров      | Первые рецепты, записанные на бумаге, появились в Вавилоне, Древнем Египте и Древнем Китае, а также в странах арабского Востока |
| 21 октября 1833 - 10 декабря 1896 | Альфред Бернхард Нобель       | Шведский химик, инженер, изобретатель, учредитель Нобелевской премии, изобретатель динамита |
| 22 октября 1811 - 31 июля 1886   | Ференц Лист                   | Венгро-немецкий композитор, пианист, педагог, дирижёр, публицист, крупный представитель музыкального романтизма |
| 23 октября 1920 - 14 апреля 1980  | Джанни Родари                 | Итальянский детский писатель, автор "Приключений Чиполлино" и "Волшебного голоса Джельсомино" |
| 23 октября 1940               | Эдсон Арантис ду Насименту Пеле | Выдающийся бразильский футболист, лучший футболист ХХ века |
| 23 октября 1715 - 30 января 1730  | Пётр II Алексеевич            | Русский император, сменил на престоле Екатерину |
| 24 октября 1862 - 23 января 1956  | Даниэль Сваровски             | Основатель австрийской хрустальной империи Swarovski, австрийский инженер |
| 25 октября 1825 - 3 июня 1899    | Иоганн Штраус                 | Австрийский композитор, дирижёр и скрипач, король вальса, автор оперетт "Летучая мышь", "Цыганский барон" |
| 25 октября 1759 - 5 ноября 1828  | Мария Фёдоровна Романова      | Российская императрица, жена Павла I, стояла у истоков Императорского человеколюбивого общества, Повивального института, училища ордена святой Екатерины |
| 27 октября 1782 - 27 мая 1840    | Никколо Паганини              | Итальянский скрипач-виртуоз, композитор, самый знаменитый скрипичный виртуоз своего времени |
| 31 октября 1451 - 20 мая 1506    | Христофор Колумб              | Испанский мореплаватель, в 1492 году открыл Новый Свет (Америку) |
